;description;energy;kms;location;make;model;price;title;transmission;year
3360;;gasolina;7;Santiago de Surco - Lima - Lima;honda;crv;13450;honda crv 2012;mecánica;2012
3361;;gasolina;188000;Lince - Lima - Lima;honda;civic;3850;honda civic 1998;automática;1998
3362;;gasolina;75000;Surquillo - Lima - Lima;honda;civic si;16800;honda civic si 2010;mecánica;2010
3363;;gasolina;39000;San Isidro - Lima - Lima;honda;pilot;31900;honda pilot 2015;automática (secuencial);2015
3364;;diesel;110000;Daniel Alomias Robles - Leoncio Prado - Huanuco;honda;accord;4800;honda accord 2008;automática;2008
3365;;gasolina;215000;Miraflores - Lima - Lima;honda;civic;3990;honda civic 1998;automática;1998
3366;;gas;75000;Pueblo Libre - Lima - Lima;honda;cr-v;;honda cr-v 2010;automática;2010
3367;;gasolina;50000;Santiago de Surco - Lima - Lima;honda;accord;16000;honda accord 2013;automática;2013
3368;;gasolina;112300;San Borja - Lima - Lima;honda;crv;9850;honda crv 2007;automática;2007
3369;;gasolina;120000;Victor Larco Herrera - Trujillo - La Libertad;honda;prelude;6400;honda prelude 1994;mecánica;1994
3370;;dual;167000;Chorrillos - Lima - Lima;honda;civic;7000;honda civic 2006;automática;2006
3371;;gasolina;10000;San Juan de Lurigancho - Lima - Lima;honda;civic;4500;honda civic 2000;automática;2000
3372;;gasolina;119300;Chorrillos - Lima - Lima;honda;accord;9000;honda accord 2010;automática;2010
3373;;gasolina;158000;Santiago de Surco - Lima - Lima;honda;accord;5900;honda accord 2005;automática;2005
3374;;gasolina;83500;Cerro Colorado - Arequipa - Arequipa;honda;cr-v;10500;honda cr-v 2007;mecánica;2007
3375;;gasolina;142000;San Borja - Lima - Lima;honda;pilot;13950;honda pilot 2011;automática;2011
3376;;gasolina;130000;La Molina - Lima - Lima;honda;cr-v;10200;honda cr-v 2008;automática;2008
3377;;gasolina;251000;Lima - Lima - Lima;honda;civic;3099;honda civic 1996;automática;1996
